"","id","water_pot_mpa","mass_g","leaf_mass_g","offset_mass_g","note","dt","week","start_weight","mass_lost_g","state","date"
"114","122",-2.62,0.1914,0.1914,0,NA,2025-06-05 05:35:40.989192,2,0.2711,0.0797,"Fresh","2025-06-04"
"115","122",-2.76,0.1855,0.1855,0,NA,2025-06-05 07:21:40.646004,2,0.2711,0.0856,"Fresh","2025-06-04"
"116","122",-3.02,0.1795,0.1795,0,NA,2025-06-05 09:48:10.162191,2,0.2711,0.0916,"Fresh","2025-06-04"
"117","122",-4.67,0.1486,0.1486,0,NA,2025-06-09 07:38:59.61375,2,0.2711,0.1225,"Fresh","2025-06-04"
"118","46",-0.8,0.306,0.306,0,NA,NA,2,0.306,0,"Fresh","2025-06-04"
"119","46",-1.05,0.2996,0.2996,0,NA,NA,2,0.306,0.00640000000000002,"Fresh","2025-06-04"
"120","46",-1.26,0.2849,0.2849,0,NA,NA,2,0.306,0.0211,"Fresh","2025-06-04"
"121","46",-2.01,0.2678,0.2678,0,NA,2025-06-04 08:38:13,2,0.306,0.0382,"Fresh","2025-06-04"
"122","46",-2.28,0.2595,0.2595,0,NA,2025-06-04 09:29:36,2,0.306,0.0465,"Fresh","2025-06-04"
"123","46",-2.43,0.2545,0.2545,0,NA,2025-06-04 10:24:34,2,0.306,0.0515,"Fresh","2025-06-04"
"124","46",-2.64,0.2369,0.2369,0,NA,2025-06-05 12:40:05,2,0.306,0.0691,"Fresh","2025-06-04"
"125","46",-2.76,0.2302,0.2302,0,NA,2025-06-05 14:27:00,2,0.306,0.0758,"Fresh","2025-06-04"
"126","46",-3.02,0.221,0.221,0,NA,2025-06-05 16:53:07,2,0.306,0.085,"Fresh","2025-06-04"
"127","46",-4.16,0.1902,0.1902,0,NA,2025-06-09 14:45:32,2,0.306,0.1158,"Fresh","2025-06-04"
"128","39",-0.69,0.3388,0.3388,0,NA,NA,2,0.3388,0,"Fresh","2025-06-04"
"129","39",-0.91,0.3223,0.3223,0,NA,NA,2,0.3388,0.0165,"Fresh","2025-06-04"
"130","39",-1,0.3032,0.3032,0,NA,NA,2,0.3388,0.0356,"Fresh","2025-06-04"
"131","39",-1.4,0.2827,0.2827,0,NA,NA,2,0.3388,0.0561,"Fresh","2025-06-04"
"132","39",-2.3,0.2711,0.2711,0,NA,NA,2,0.3388,0.0677,"Fresh","2025-06-04"
"133","39",-2.49,0.2659,0.2659,0,NA,NA,2,0.3388,0.0729,"Fresh","2025-06-04"
"134","39",-2.84,0.2524,0.2524,0,NA,2025-06-05 12:45:38,2,0.3388,0.0864,"Fresh","2025-06-04"
"135","39",-3.02,0.246,0.246,0,NA,2025-06-05 14:32:32,2,0.3388,0.0928,"Fresh","2025-06-04"
"136","39",-3.26,0.2371,0.2371,0,NA,2025-06-05 16:58:32,2,0.3388,0.1017,"Fresh","2025-06-04"
"137","39",-4.22,0.2097,0.2097,0,NA,2025-06-09 14:51:50,2,0.3388,0.1291,"Fresh","2025-06-04"
"138","101",-0.8,0.2766,0.2766,0,NA,2025-06-23 23:42:20.665868,5,0.2766,0,"Rehydrated","2025-06-24"
"139","101",-1.07,0.2747,0.2747,0,NA,2025-06-23 23:44:54.282082,5,0.2766,0.00190000000000001,"Rehydrated","2025-06-24"
"140","101",-1.14,0.2739,0.2739,0,NA,2025-06-23 23:49:52.849583,5,0.2766,0.00270000000000004,"Rehydrated","2025-06-24"
"141","101",-1.47,0.2721,0.2721,0,NA,2025-06-23 23:59:57.06959,5,0.2766,0.0045,"Rehydrated","2025-06-24"
"142","101",-2.08,0.2678,0.2678,0,NA,2025-06-24 00:25:00.811277,5,0.2766,0.00880000000000003,"Rehydrated","2025-06-24"
"143","101",-2.37,0.2664,0.2664,0,NA,2025-06-24 00:43:54.273424,5,0.2766,0.0102,"Rehydrated","2025-06-24"
"144","101",-2.72,0.2615,0.2615,0,NA,2025-06-24 01:17:45.013005,5,0.2766,0.0151,"Rehydrated","2025-06-24"
"145","101",-2.87,0.2592,0.2592,0,NA,2025-06-24 01:48:20.933524,5,0.2766,0.0174,"Rehydrated","2025-06-24"
"146","101",-3.1,0.2533,0.2533,0,NA,2025-06-24 03:35:36.587024,5,0.2766,0.0233,"Rehydrated","2025-06-24"
"147","101",-3.25,0.2447,0.2447,0,NA,2025-06-25 02:18:16.845455,5,0.2766,0.0319,"Rehydrated","2025-06-24"
"148","101",-3.61,0.2384,0.2384,0,NA,2025-06-25 03:50:00.126681,5,0.2766,0.0382,"Rehydrated","2025-06-24"
"149","101",-3.79,0.2309,0.2309,0,NA,2025-06-25 06:32:57.713382,5,0.2766,0.0457,"Rehydrated","2025-06-24"
"150","101",-4.15,0.2193,0.2193,0,NA,2025-06-26 02:35:41.469412,5,0.2766,0.0573,"Rehydrated","2025-06-24"
"151","51",-1.1,0.4297,0.4297,0,NA,2025-06-24 00:08:31.482409,5,0.4297,0,"Rehydrated","2025-06-24"
"152","51",-1.17,0.4289,0.4289,0,NA,2025-06-24 00:11:30.83537,5,0.4297,0.000800000000000023,"Rehydrated","2025-06-24"
"153","51",-1.26,0.426,0.426,0,NA,2025-06-24 00:16:08.105998,5,0.4297,0.00370000000000004,"Rehydrated","2025-06-24"
"154","51",-1.4,0.4244,0.4244,0,NA,2025-06-24 00:29:05.862245,5,0.4297,0.00530000000000003,"Rehydrated","2025-06-24"
"155","51",-1.71,0.4226,0.4226,0,NA,2025-06-24 00:49:14.104826,5,0.4297,0.00710000000000005,"Rehydrated","2025-06-24"
"156","51",-2.1,0.4177,0.4177,0,NA,2025-06-24 01:21:26.122331,5,0.4297,0.012,"Rehydrated","2025-06-24"
"157","51",-2.54,0.4146,0.4146,0,NA,2025-06-24 01:52:19.284603,5,0.4297,0.0151,"Rehydrated","2025-06-24"
"158","51",-2.91,0.408,0.408,0,NA,2025-06-24 02:46:21.142649,5,0.4297,0.0217000000000001,"Rehydrated","2025-06-24"
"159","51",-2.99,0.4039,0.4039,0,NA,2025-06-24 03:44:57.033441,5,0.4297,0.0258,"Rehydrated","2025-06-24"
"160","51",-3.24,0.3927,0.3927,0,NA,2025-06-25 02:25:14.405171,5,0.4297,0.037,"Rehydrated","2025-06-24"
"161","51",-3.46,0.3831,0.3831,0,NA,2025-06-25 03:54:31.734903,5,0.4297,0.0466,"Rehydrated","2025-06-24"
"162","51",-3.75,0.3698,0.3698,0,NA,2025-06-25 08:21:24.067269,5,0.4297,0.0599,"Rehydrated","2025-06-24"
"163","51",-4.03,0.3611,0.3611,0,NA,2025-06-26 02:41:38.215386,5,0.4297,0.0686,"Rehydrated","2025-06-24"
"164","56",-2.3,0.5021,0.5021,0,NA,2025-06-23 23:08:39.871107,5,0.5021,0,"Fresh","2025-06-24"
"165","56",-2.4,0.4926,0.4926,0,NA,2025-06-24 00:22:14.296383,5,0.5021,0.00950000000000001,"Fresh","2025-06-24"
"166","56",-2.73,0.4871,0.4871,0,NA,2025-06-24 00:58:06.534326,5,0.5021,0.015,"Fresh","2025-06-24"
"167","56",-2.84,0.4835,0.4835,0,NA,2025-06-24 01:32:43.901241,5,0.5021,0.0186,"Fresh","2025-06-24"
"168","56",-2.92,0.4754,0.4754,0,NA,2025-06-24 02:57:09.420208,5,0.5021,0.0267,"Fresh","2025-06-24"
"169","56",-3.04,0.4691,0.4691,0,NA,2025-06-24 03:54:19.067797,5,0.5021,0.033,"Fresh","2025-06-24"
"170","56",-3.53,0.4544,0.4544,0,NA,2025-06-25 02:38:12.985852,5,0.5021,0.0477,"Fresh","2025-06-24"
"171","56",-3.77,0.4455,0.4455,0,NA,2025-06-25 04:08:29.762545,5,0.5021,0.0566,"Fresh","2025-06-24"
"172","56",-4.04,0.4305,0.4305,0,NA,2025-06-25 08:35:08.022226,5,0.5021,0.0716,"Fresh","2025-06-24"
"173","56",-4.2,0.419,0.419,0,NA,2025-06-26 02:55:12.998578,5,0.5021,0.0831,"Fresh","2025-06-24"
"174","86",-1.25,0.5146,0.5146,0,NA,2025-06-23 23:11:28.149819,5,0.5146,0,"Fresh","2025-06-24"
"175","86",-1.3,0.5088,0.5088,0,NA,2025-06-23 23:25:00.129513,5,0.5146,0.00579999999999992,"Fresh","2025-06-24"
"176","86",-1.4,0.5064,0.5064,0,NA,2025-06-23 23:32:10.116775,5,0.5146,0.00819999999999999,"Fresh","2025-06-24"
"177","86",-1.95,0.4972,0.4972,0,NA,2025-06-24 00:07:49.892056,5,0.5146,0.0174,"Fresh","2025-06-24"
"178","86",-2.21,0.4867,0.4867,0,NA,2025-06-24 00:35:17.659737,5,0.5146,0.0278999999999999,"Fresh","2025-06-24"
"179","86",-2.38,0.4813,0.4813,0,NA,2025-06-24 01:01:13.141513,5,0.5146,0.0332999999999999,"Fresh","2025-06-24"
"180","86",-2.51,0.4752,0.4752,0,NA,2025-06-24 01:28:26.148765,5,0.5146,0.0393999999999999,"Fresh","2025-06-24"
"181","86",-2.64,0.4701,0.4701,0,NA,2025-06-24 01:58:15.207806,5,0.5146,0.0444999999999999,"Fresh","2025-06-24"
"182","86",-2.82,0.4609,0.4609,0,NA,2025-06-24 02:53:33.605201,5,0.5146,0.0537,"Fresh","2025-06-24"
"183","86",-2.96,0.4515,0.4515,0,NA,2025-06-24 03:50:57.981857,5,0.5146,0.0630999999999999,"Fresh","2025-06-24"
"184","86",-3.38,0.4366,0.4366,0,NA,2025-06-25 02:48:37.918131,5,0.5146,0.078,"Fresh","2025-06-24"
"185","86",-3.5,0.4243,0.4243,0,NA,2025-06-25 04:02:27.118498,5,0.5146,0.0902999999999999,"Fresh","2025-06-24"
"186","86",-3.98,0.4009,0.4009,0,NA,2025-06-25 08:31:04.970067,5,0.5146,0.1137,"Fresh","2025-06-24"
"187","86",-4.34,0.3865,0.3865,0,NA,2025-06-26 02:50:48.280278,5,0.5146,0.1281,"Fresh","2025-06-24"
"188","90",-1.35,0.6111,0.6111,0,NA,NA,5,0.6111,0,"Rehydrated","2025-06-24"
"189","90",-1.75,0.599,0.599,0,NA,NA,5,0.6111,0.0121,"Rehydrated","2025-06-24"
"190","90",-2.05,0.5899,0.5899,0,NA,NA,5,0.6111,0.0212,"Rehydrated","2025-06-24"
"191","90",-2.29,0.5838,0.5938,0,NA,NA,5,0.6111,0.0273,"Rehydrated","2025-06-24"
"192","90",-2.46,0.5746,0.5746,0,NA,NA,5,0.6111,0.0365,"Rehydrated","2025-06-24"
"193","90",-2.6,0.5679,0.5679,0,NA,NA,5,0.6111,0.0432,"Rehydrated","2025-06-24"
"194","90",-2.76,0.5559,0.5559,0,NA,NA,5,0.6111,0.0552,"Rehydrated","2025-06-24"
"195","90",-2.84,0.5438,0.5438,0,NA,2025-06-24 10:48:00,5,0.6111,0.0673,"Rehydrated","2025-06-24"
"196","90",-3.16,0.5263,0.5263,0,NA,2025-06-25 09:29:53,5,0.6111,0.0848,"Rehydrated","2025-06-24"
"197","90",-3.42,0.5053,0.5053,0,NA,2025-06-25 10:58:40,5,0.6111,0.1058,"Rehydrated","2025-06-24"
"198","90",-4.14,0.4679,0.4679,0,NA,2025-06-25 15:26:09,5,0.6111,0.1432,"Rehydrated","2025-06-24"
"199","90",-4.51,0.4467,0.4467,0,NA,2025-06-26 09:46:19,5,0.6111,0.1644,"Rehydrated","2025-06-24"
"200","91",-3.27,0.3646,0.3646,0,NA,2025-06-23 23:25:35.304525,5,0.3646,0,"Fresh","2025-06-24"
"201","91",-3.35,0.3566,0.3566,0,NA,2025-06-24 00:20:34.262339,5,0.3646,0.00800000000000001,"Fresh","2025-06-24"
"202","91",-3.3,0.3463,0.3463,0,NA,2025-06-24 01:35:13.458524,5,0.3646,0.0183,"Fresh","2025-06-24"
"203","91",-3.5,0.3432,0.3432,0,NA,2025-06-24 02:05:43.118866,5,0.3646,0.0214,"Fresh","2025-06-24"
"204","91",-3.71,0.3384,0.3384,0,NA,2025-06-24 03:00:40.564358,5,0.3646,0.0262,"Fresh","2025-06-24"
"205","91",-3.78,0.3337,0.3337,0,NA,2025-06-24 03:57:49.983484,5,0.3646,0.0309,"Fresh","2025-06-24"
"206","91",-4.34,0.3212,0.3212,0,NA,2025-06-25 02:43:06.312416,5,0.3646,0.0434,"Fresh","2025-06-24"
"207","91",-4.65,0.3154,0.3154,0,NA,2025-06-25 04:12:20.802742,5,0.3646,0.0492,"Fresh","2025-06-24"
"208","91",-4.99,0.3028,0.3028,0,NA,2025-06-25 08:38:44.487885,5,0.3646,0.0618,"Fresh","2025-06-24"
"209","56",-1.12,0.1993,0.1993,0,NA,2025-06-10 23:18:31.866186,3,0.1993,0,"Fresh","2025-06-11"
"210","56",-1.2,0.1962,0.1962,0,NA,2025-06-10 23:25:17.804827,3,0.1993,0.00309999999999999,"Fresh","2025-06-11"
"211","56",-1.32,0.1955,0.1955,0,NA,2025-06-10 23:31:00.432323,3,0.1993,0.0038,"Fresh","2025-06-11"
"212","56",-3.26,0.1763,0.1763,0,NA,2025-06-11 01:58:22.195473,3,0.1993,0.023,"Fresh","2025-06-11"
"213","56",-3.34,0.1737,0.1737,0,NA,2025-06-12 03:45:08.335862,3,0.1993,0.0256,"Fresh","2025-06-11"
"214","56",-3.63,0.1665,0.1665,0,NA,2025-06-12 07:02:46.887355,3,0.1993,0.0328,"Fresh","2025-06-11"
"215","56",-3.86,0.1616,0.1616,0,NA,2025-06-12 08:44:34.413088,3,0.1993,0.0377,"Fresh","2025-06-11"
"216","86",-1.95,0.4519,0.4519,0,NA,NA,3,0.4519,0,"Fresh","2025-06-11"
"217","86",-2.02,0.4462,0.4462,0,NA,NA,3,0.4519,0.00570000000000004,"Fresh","2025-06-11"
"218","86",-2.72,0.4062,0.4062,0,NA,2025-06-11 09:07:35,3,0.4519,0.0457,"Fresh","2025-06-11"
"219","86",-3.13,0.3823,0.3823,0,NA,2025-06-12 10:49:27,3,0.4519,0.0696000000000001,"Fresh","2025-06-11"
"220","86",-3.57,0.3506,0.3506,0,NA,2025-06-12 14:11:31,3,0.4519,0.1013,"Fresh","2025-06-11"
"221","86",-3.65,0.3369,0.3369,0,NA,2025-06-12 15:49:23,3,0.4519,0.115,"Fresh","2025-06-11"
"222","90",-2.45,0.2979,0.2979,0,NA,NA,3,0.2987,0.000800000000000023,"Fresh","2025-06-11"
"223","90",-3.17,0.2857,0.2857,0,NA,NA,3,0.2987,0.013,"Fresh","2025-06-11"
"224","90",-3.31,0.2757,0.2757,0,"pv(""91"", plotonly = TRUE)",2025-06-12 10:54:18,3,0.2987,0.023,"Fresh","2025-06-11"
"225","90",-3.82,0.2646,0.2646,0,NA,2025-06-12 14:16:58,3,0.2987,0.0341,"Fresh","2025-06-11"
"226","90",-3.95,0.2595,0.2595,0,NA,2025-06-12 15:54:09,3,0.2987,0.0392,"Fresh","2025-06-11"
"227","91",-2.99,0.2084,0.2084,0,NA,2025-06-11 00:23:24.374578,3,0.2084,0,"Fresh","2025-06-11"
"228","91",-3.21,0.2067,0.2067,0,NA,2025-06-11 00:44:17.578995,3,0.2084,0.00170000000000001,"Fresh","2025-06-11"
"229","91",-3.5,0.2003,0.2003,0,NA,2025-06-11 02:19:59.830086,3,0.2084,0.0081,"Fresh","2025-06-11"
"230","91",-3.82,0.1986,0.1986,0,NA,2025-06-12 02:55:37.058,3,0.2084,0.0098,"Fresh","2025-06-11"
"231","91",-3.88,0.1909,0.1909,0,NA,2025-06-12 04:01:02.732789,3,0.2084,0.0175,"Fresh","2025-06-11"
"232","91",-4.51,0.1805,0.1805,0,NA,2025-06-12 07:23:56.555264,3,0.2084,0.0279,"Fresh","2025-06-11"
"233","91",-4.98,0.1749,0.1749,0,NA,2025-06-12 08:59:24.614982,3,0.2084,0.0335,"Fresh","2025-06-11"
